id,rho_ODE,x,y,z
268,-2.4268798938465e-05,-1.86575,0,0
269,-2.4268798938465e-05,-1.86525,0,0
270,-2.4268798938465e-05,-1.86475,0,0
271,-2.4268798981097e-05,-1.86425,0,0
272,-2.4268798938465e-05,-1.86375,0,0
273,-2.4268798938465e-05,-1.86325,0,0
274,-2.4268798938465e-05,-1.86275,0,0
275,-2.4268798938465e-05,-1.86225,0,0
276,-2.4268798981097e-05,-1.86175,0,0
277,-2.4268798938465e-05,-1.86125,0,0
278,-2.4268798938465e-05,-1.86075,0,0
279,-2.4268798938465e-05,-1.86025,0,0
280,-2.4268798938465e-05,-1.85975,0,0
281,-2.4268798938465e-05,-1.85925,0,0
282,-2.4268798981097e-05,-1.85875,0,0
283,-2.4268798938465e-05,-1.85825,0,0
284,-2.4268798938465e-05,-1.85775,0,0
285,-2.4268798938465e-05,-1.85725,0,0
286,-2.4268798895832e-05,-1.85675,0,0
287,-2.426879902373e-05,-1.85625,0,0
288,-2.4268798938465e-05,-1.85575,0,0
289,-2.4268798938465e-05,-1.85525,0,0
290,-2.4268798938465e-05,-1.85475,0,0
291,-2.4268798938465e-05,-1.85425,0,0
292,-2.4268798981097e-05,-1.85375,0,0
293,-2.4268798938465e-05,-1.85325,0,0
294,-2.4268798938465e-05,-1.85275,0,0
295,-2.4268798938465e-05,-1.85225,0,0
296,-2.4268798938465e-05,-1.85175,0,0
297,-2.4268798938465e-05,-1.85125,0,0
298,-2.4268798981097e-05,-1.85075,0,0
299,-2.4268798938465e-05,-1.85025,0,0
300,-2.4268798938465e-05,-1.84975,0,0
301,-2.4268798938465e-05,-1.84925,0,0
302,-2.4268798938465e-05,-1.84875,0,0
303,-2.4268798981097e-05,-1.84825,0,0
304,-2.4268798938465e-05,-1.84775,0,0
305,-2.4268798938465e-05,-1.84725,0,0
306,-2.4268798938465e-05,-1.84675,0,0
307,-2.4268798938465e-05,-1.84625,0,0
308,-2.4268798981097e-05,-1.84575,0,0
309,-2.4268798938465e-05,-1.84525,0,0
310,-2.4268798938465e-05,-1.84475,0,0
311,-2.4268798895832e-05,-1.84425,0,0
312,-2.4268798895832e-05,-1.84375,0,0
313,-2.4268798938465e-05,-1.84325,0,0
314,-2.4268798981097e-05,-1.84275,0,0
315,-2.4268798938465e-05,-1.84225,0,0
316,-2.4268798938465e-05,-1.84175,0,0
317,-2.4268798938465e-05,-1.84125,0,0
318,-2.4268798938465e-05,-1.84075,0,0
319,-2.4268798938465e-05,-1.84025,0,0
320,-2.4268798981097e-05,-1.83975,0,0
321,-2.4268798938465e-05,-1.83925,0,0
322,-2.4268798938465e-05,-1.83875,0,0
323,-2.4268798938465e-05,-1.83825,0,0
324,-2.4268798938465e-05,-1.83775,0,0
325,-2.4268798981097e-05,-1.83725,0,0
326,-2.4268798938465e-05,-1.83675,0,0
327,-2.4268798938465e-05,-1.83625,0,0
328,-2.4268798938465e-05,-1.83575,0,0
329,-2.4268798938465e-05,-1.83525,0,0
330,-2.4268798938465e-05,-1.83475,0,0
331,-2.4268798981097e-05,-1.83425,0,0
332,-2.4268798938465e-05,-1.83375,0,0
333,-2.4268798938465e-05,-1.83325,0,0
334,-2.4268798938465e-05,-1.83275,0,0
335,-2.4268798938465e-05,-1.83225,0,0
336,-2.4268798938465e-05,-1.83175,0,0
337,-2.4268798981097e-05,-1.83125,0,0
338,-2.4268798938465e-05,-1.83075,0,0
339,-2.4268798938465e-05,-1.83025,0,0
340,-2.4268798938465e-05,-1.82975,0,0
341,-2.4268798938465e-05,-1.82925,0,0
342,-2.4268798981097e-05,-1.82875,0,0
343,-2.4268798938465e-05,-1.82825,0,0
344,-2.4268798938465e-05,-1.82775,0,0
345,-2.4268798938465e-05,-1.82725,0,0
346,-2.4268798895832e-05,-1.82675,0,0
347,-2.4268798938465e-05,-1.82625,0,0
348,-2.4268798981097e-05,-1.82575,0,0
349,-2.4268798938465e-05,-1.82525,0,0
350,-2.4268798938465e-05,-1.82475,0,0
351,-2.4268798938465e-05,-1.82425,0,0
352,-2.4268798938465e-05,-1.82375,0,0
353,-2.4268798938465e-05,-1.82325,0,0
354,-2.4268798981097e-05,-1.82275,0,0
355,-2.4268798938465e-05,-1.82225,0,0
356,-2.4268798938465e-05,-1.82175,0,0
357,-2.4268798938465e-05,-1.82125,0,0
358,-2.4268798938465e-05,-1.82075,0,0
359,-2.4268798981097e-05,-1.82025,0,0
360,-2.4268798938465e-05,-1.81975,0,0
361,-2.4268798938465e-05,-1.81925,0,0
362,-2.4268798981097e-05,-1.81875,0,0
