cn_ODE,id,x,y,z
0,4757,0.189375,0,0
0,4758,0.189625,0,0
0,4759,0.189875,0,0
0,4760,0.190125,0,0
0,4761,0.190375,0,0
0,4762,0.190625,0,0
0,4763,0.190875,0,0
0,4764,0.191125,0,0
0,4765,0.191375,0,0
0,4766,0.191625,0,0
0,4767,0.191875,0,0
0,4768,0.192125,0,0
0,4769,0.192375,0,0
0,4770,0.192625,0,0
0,4771,0.192875,0,0
0,4772,0.193125,0,0
0,4773,0.193375,0,0
0,4774,0.193625,0,0
0,4775,0.193875,0,0
0,4776,0.194125,0,0
0,4777,0.194375,0,0
0,4778,0.194625,0,0
0,4779,0.194875,0,0
0,4780,0.195125,0,0
0,4781,0.195375,0,0
0,4782,0.195625,0,0
0,4783,0.195875,0,0
0,4784,0.196125,0,0
0,4785,0.196375,0,0
0,4786,0.196625,0,0
0,4787,0.196875,0,0
0,4788,0.197125,0,0
0,4789,0.197375,0,0
0,4790,0.197625,0,0
0,4791,0.197875,0,0
0,4792,0.198125,0,0
0,4793,0.198375,0,0
0,4794,0.198625,0,0
0,4795,0.198875,0,0
0,4796,0.199125,0,0
0,4797,0.199375,0,0
0,4798,0.199625,0,0
0,4799,0.199875,0,0
0,4800,0.200125,0,0
0,4801,0.200375,0,0
0,4802,0.200625,0,0
0,4803,0.200875,0,0
0,4804,0.201125,0,0
0,4805,0.201375,0,0
0,4806,0.201625,0,0
0,4807,0.201875,0,0
0,4808,0.202125,0,0
0,4809,0.202375,0,0
0,4810,0.202625,0,0
0,4811,0.202875,0,0
0,4812,0.203125,0,0
0,4813,0.203375,0,0
0,4814,0.203625,0,0
0,4815,0.203875,0,0
0,4816,0.204125,0,0
0,4817,0.204375,0,0
0,4818,0.204625,0,0
0,4819,0.204875,0,0
0,4820,0.205125,0,0
0,4821,0.205375,0,0
0,4822,0.205625,0,0
0,4823,0.205875,0,0
0,4824,0.206125,0,0
0,4825,0.206375,0,0
0,4826,0.206625,0,0
0,4827,0.206875,0,0
0,4828,0.207125,0,0
0,4829,0.207375,0,0
0,4830,0.207625,0,0
0,4831,0.207875,0,0
0,4832,0.208125,0,0
0,4833,0.208375,0,0
0,4834,0.208625,0,0
0,4835,0.208875,0,0
0,4836,0.209125,0,0
0,4837,0.209375,0,0
0,4838,0.209625,0,0
0,4839,0.209875,0,0
0,4840,0.210125,0,0
0,4841,0.210375,0,0
0,4842,0.210625,0,0
0,4843,0.210875,0,0
0,4844,0.211125,0,0
0,4845,0.211375,0,0
0,4846,0.211625,0,0
0,4847,0.211875,0,0
0,4848,0.212125,0,0
0,4849,0.212375,0,0
0,4850,0.212625,0,0
0,4851,0.212875,0,0
0,4852,0.213125,0,0
0,4853,0.213375,0,0
0,4854,0.213625,0,0
0,4855,0.213875,0,0
0,4856,0.214125,0,0
0,4857,0.214375,0,0
0,4858,0.214625,0,0
0,4859,0.214875,0,0
0,4860,0.215125,0,0
0,4861,0.215375,0,0
0,4862,0.215625,0,0
0,4863,0.215875,0,0
0,4864,0.216125,0,0
0,4865,0.216375,0,0
0,4866,0.216625,0,0
0,4867,0.216875,0,0
0,4868,0.217125,0,0
0,4869,0.217375,0,0
0,4870,0.217625,0,0
0,4871,0.217875,0,0
0,4872,0.218125,0,0
0,4873,0.218375,0,0
0,4874,0.218625,0,0
0,4875,0.218875,0,0
0,4876,0.219125,0,0
0,4877,0.219375,0,0
0,4878,0.219625,0,0
0,4879,0.219875,0,0
0,4880,0.220125,0,0
0,4881,0.220375,0,0
0,4882,0.220625,0,0
0,4883,0.220875,0,0
0,4884,0.221125,0,0
0,4885,0.221375,0,0
0,4886,0.221625,0,0
0,4887,0.221875,0,0
0,4888,0.222125,0,0
0,4889,0.222375,0,0
0,4890,0.222625,0,0
0,4891,0.222875,0,0
0,4892,0.223125,0,0
0,4893,0.223375,0,0
0,4894,0.223625,0,0
0,4895,0.223875,0,0
0,4896,0.224125,0,0
0,4897,0.224375,0,0
0,4898,0.224625,0,0
0,4899,0.224875,0,0
0,4900,0.225125,0,0
0,4901,0.225375,0,0
0,4902,0.225625,0,0
0,4903,0.225875,0,0
0,4904,0.226125,0,0
0,4905,0.226375,0,0
0,4906,0.226625,0,0
0,4907,0.226875,0,0
0,4908,0.227125,0,0
0,4909,0.227375,0,0
0,4910,0.227625,0,0
0,4911,0.227875,0,0
0,4912,0.228125,0,0
0,4913,0.228375,0,0
0,4914,0.228625,0,0
0,4915,0.228875,0,0
0,4916,0.229125,0,0
0,4917,0.229375,0,0
0,4918,0.229625,0,0
0,4919,0.229875,0,0
0,4920,0.230125,0,0
0,4921,0.230375,0,0
0,4922,0.230625,0,0
0,4923,0.230875,0,0
0,4924,0.231125,0,0
0,4925,0.231375,0,0
0,4926,0.231625,0,0
0,4927,0.231875,0,0
0,4928,0.232125,0,0
0,4929,0.232375,0,0
0,4930,0.232625,0,0
0,4931,0.232875,0,0
0,4932,0.233125,0,0
0,4933,0.233375,0,0
0,4934,0.233625,0,0
0,4935,0.233875,0,0
0,4936,0.234125,0,0
0,4937,0.234375,0,0
0,4938,0.234625,0,0
0,4939,0.234875,0,0
0,4940,0.235125,0,0
0,4941,0.235375,0,0
0,4942,0.235625,0,0
0,4943,0.235875,0,0
0,4944,0.236125,0,0
0,4945,0.236375,0,0
0,4946,0.236625,0,0
0,4947,0.236875,0,0
0,4948,0.237125,0,0
