grad_psi_e,id,x,y,z
3.2490345347469e-06,2098,-0.95075,0,0
3.2490344779035e-06,2099,-0.95025,0,0
3.2490345915903e-06,2100,-0.94975,0,0
3.2490345347469e-06,2101,-0.94925,0,0
3.2490345347469e-06,2102,-0.94875,0,0
3.2490346484337e-06,2103,-0.94825,0,0
3.2490345347469e-06,2104,-0.94775,0,0
3.2490344779035e-06,2105,-0.94725,0,0
3.2490345347469e-06,2106,-0.94675,0,0
3.2490345347469e-06,2107,-0.94625,0,0
3.2490345347469e-06,2108,-0.94575,0,0
3.2490345347469e-06,2109,-0.94525,0,0
3.2490345915903e-06,2110,-0.94475,0,0
3.2490345915903e-06,2111,-0.94425,0,0
3.2490345347469e-06,2112,-0.94375,0,0
3.2490345347469e-06,2113,-0.94325,0,0
3.2490345347469e-06,2114,-0.94275,0,0
3.2490344779035e-06,2115,-0.94225,0,0
3.2490345347469e-06,2116,-0.94175,0,0
3.2490345915903e-06,2117,-0.94125,0,0
3.2490345347469e-06,2118,-0.94075,0,0
3.2490345915903e-06,2119,-0.94025,0,0
3.2490345915903e-06,2120,-0.93975,0,0
3.2490344779035e-06,2121,-0.93925,0,0
3.2490345347469e-06,2122,-0.93875,0,0
3.2490345347469e-06,2123,-0.93825,0,0
3.2490345347469e-06,2124,-0.93775,0,0
3.2490345347469e-06,2125,-0.93725,0,0
3.2490345347469e-06,2126,-0.93675,0,0
3.2490345915903e-06,2127,-0.93625,0,0
3.2490345915903e-06,2128,-0.93575,0,0
3.2490344779035e-06,2129,-0.93525,0,0
3.2490345915903e-06,2130,-0.93475,0,0
3.2490344779035e-06,2131,-0.93425,0,0
3.2490345347469e-06,2132,-0.93375,0,0
3.2490345915903e-06,2133,-0.93325,0,0
3.2490344779035e-06,2134,-0.93275,0,0
3.2490345915903e-06,2135,-0.93225,0,0
3.2490345915903e-06,2136,-0.93175,0,0
3.2490345347469e-06,2137,-0.93125,0,0
3.2490345347469e-06,2138,-0.93075,0,0
3.2490344779035e-06,2139,-0.93025,0,0
3.2490345915903e-06,2140,-0.92975,0,0
3.2490345347469e-06,2141,-0.92925,0,0
3.2490344779035e-06,2142,-0.92875,0,0
3.2490345915903e-06,2143,-0.92825,0,0
3.2490345347469e-06,2144,-0.92775,0,0
3.2490345347469e-06,2145,-0.92725,0,0
3.2490345915903e-06,2146,-0.92675,0,0
3.2490344779035e-06,2147,-0.92625,0,0
3.2490345347469e-06,2148,-0.92575,0,0
3.2490345347469e-06,2149,-0.92525,0,0
3.2490345347469e-06,2150,-0.92475,0,0
3.2490345347469e-06,2151,-0.92425,0,0
3.2490345347469e-06,2152,-0.92375,0,0
3.2490345915903e-06,2153,-0.92325,0,0
3.2490345347469e-06,2154,-0.92275,0,0
3.2490344779035e-06,2155,-0.92225,0,0
3.2490345915903e-06,2156,-0.92175,0,0
3.2490345347469e-06,2157,-0.92125,0,0
3.2490344779035e-06,2158,-0.92075,0,0
3.2490345915903e-06,2159,-0.92025,0,0
3.2490345347469e-06,2160,-0.91975,0,0
3.2490344779035e-06,2161,-0.91925,0,0
3.2490345915903e-06,2162,-0.91875,0,0
3.2490345347469e-06,2163,-0.91825,0,0
3.2490345347469e-06,2164,-0.91775,0,0
3.2490345347469e-06,2165,-0.91725,0,0
3.2490345347469e-06,2166,-0.91675,0,0
3.2490345347469e-06,2167,-0.91625,0,0
3.2490345347469e-06,2168,-0.91575,0,0
3.2490345347469e-06,2169,-0.91525,0,0
3.2490345915903e-06,2170,-0.91475,0,0
3.2490344779035e-06,2171,-0.91425,0,0
3.2490345347469e-06,2172,-0.91375,0,0
3.2490345915903e-06,2173,-0.91325,0,0
3.2490344779035e-06,2174,-0.91275,0,0
3.2490345347469e-06,2175,-0.91225,0,0
3.2490345915903e-06,2176,-0.91175,0,0
3.2490344779035e-06,2177,-0.91125,0,0
3.2490345915903e-06,2178,-0.91075,0,0
3.2490345347469e-06,2179,-0.91025,0,0
3.2490345347469e-06,2180,-0.90975,0,0
3.2490345347469e-06,2181,-0.90925,0,0
3.2490345347469e-06,2182,-0.90875,0,0
3.2490345347469e-06,2183,-0.90825,0,0
3.2490345347469e-06,2184,-0.90775,0,0
3.2490344779035e-06,2185,-0.90725,0,0
3.2490345915903e-06,2186,-0.90675,0,0
3.2490344779035e-06,2187,-0.90625,0,0
3.2490344779035e-06,2188,-0.90575,0,0
3.2490345915903e-06,2189,-0.90525,0,0
3.2490344779035e-06,2190,-0.90475,0,0
3.2490345347469e-06,2191,-0.90425,0,0
3.2490345915903e-06,2192,-0.90375,0,0
3.2490344779035e-06,2193,-0.90325,0,0
3.2490345347469e-06,2194,-0.90275,0,0
3.2490344779035e-06,2195,-0.90225,0,0
3.2490345347469e-06,2196,-0.90175,0,0
3.2490345347469e-06,2197,-0.90125,0,0
3.2490344779035e-06,2198,-0.90075,0,0
3.2490345915903e-06,2199,-0.90025,0,0
3.2490345347469e-06,2200,-0.89975,0,0
3.2490344779035e-06,2201,-0.89925,0,0
3.2490345915903e-06,2202,-0.89875,0,0
3.2490344779035e-06,2203,-0.89825,0,0
3.2490344779035e-06,2204,-0.89775,0,0
3.2490345347469e-06,2205,-0.89725,0,0
3.2490345347469e-06,2206,-0.89675,0,0
3.2490345347469e-06,2207,-0.89625,0,0
3.2490345347469e-06,2208,-0.89575,0,0
3.2490345347469e-06,2209,-0.89525,0,0
3.2490345347469e-06,2210,-0.89475,0,0
3.2490344779035e-06,2211,-0.89425,0,0
3.2490345347469e-06,2212,-0.89375,0,0
3.2490345347469e-06,2213,-0.89325,0,0
3.2490344779035e-06,2214,-0.89275,0,0
3.2490345347469e-06,2215,-0.89225,0,0
3.2490345915903e-06,2216,-0.89175,0,0
3.2490344779035e-06,2217,-0.89125,0,0
3.2490345347469e-06,2218,-0.89075,0,0
3.2490345915903e-06,2219,-0.89025,0,0
3.2490345347469e-06,2220,-0.88975,0,0
3.2490345347469e-06,2221,-0.88925,0,0
3.2490345347469e-06,2222,-0.88875,0,0
3.2490345347469e-06,2223,-0.88825,0,0
3.2490345347469e-06,2224,-0.88775,0,0
3.2490344779035e-06,2225,-0.88725,0,0
3.2490345915903e-06,2226,-0.88675,0,0
3.2490345347469e-06,2227,-0.88625,0,0
3.2490345347469e-06,2228,-0.88575,0,0
3.2490345915903e-06,2229,-0.88525,0,0
3.2490344779035e-06,2230,-0.88475,0,0
3.2490345347469e-06,2231,-0.88425,0,0
3.2490345915903e-06,2232,-0.88375,0,0
3.2490344779035e-06,2233,-0.88325,0,0
3.2490345347469e-06,2234,-0.88275,0,0
3.2490345347469e-06,2235,-0.88225,0,0
3.2490345915903e-06,2236,-0.88175,0,0
3.2490345347469e-06,2237,-0.88125,0,0
3.2490344779035e-06,2238,-0.88075,0,0
3.2490345915903e-06,2239,-0.88025,0,0
3.2490345347469e-06,2240,-0.87975,0,0
3.2490344779035e-06,2241,-0.87925,0,0
3.2490345915903e-06,2242,-0.87875,0,0
3.2490345347469e-06,2243,-0.87825,0,0
3.2490345347469e-06,2244,-0.87775,0,0
3.2490345347469e-06,2245,-0.87725,0,0
3.2490345347469e-06,2246,-0.87675,0,0
3.2490345347469e-06,2247,-0.87625,0,0
3.2490345347469e-06,2248,-0.87575,0,0
3.2490345347469e-06,2249,-0.87525,0,0
3.2490345347469e-06,2250,-0.87475,0,0
3.2490345347469e-06,2251,-0.87425,0,0
3.2490346484337e-06,2252,-0.87375,0,0
3.2490345915903e-06,2253,-0.87325,0,0
3.2490344779035e-06,2254,-0.87275,0,0
3.2490345915903e-06,2255,-0.87225,0,0
3.2490345347469e-06,2256,-0.87175,0,0
3.2490344779035e-06,2257,-0.87125,0,0
3.2490345347469e-06,2258,-0.87075,0,0
3.2490345915903e-06,2259,-0.87025,0,0
3.2490345915903e-06,2260,-0.86975,0,0
3.2490345915903e-06,2261,-0.86925,0,0
3.2490345347469e-06,2262,-0.86875,0,0
3.2490345347469e-06,2263,-0.86825,0,0
3.2490345347469e-06,2264,-0.86775,0,0
3.2490345347469e-06,2265,-0.86725,0,0
3.2490345347469e-06,2266,-0.86675,0,0
3.2490345347469e-06,2267,-0.86625,0,0
3.2490345915903e-06,2268,-0.86575,0,0
3.2490345347469e-06,2269,-0.86525,0,0
3.2490345347469e-06,2270,-0.86475,0,0
3.2490345347469e-06,2271,-0.86425,0,0
3.2490345915903e-06,2272,-0.86375,0,0
3.2490344779035e-06,2273,-0.86325,0,0
3.2490345347469e-06,2274,-0.86275,0,0
3.2490345915903e-06,2275,-0.86225,0,0
3.2490345347469e-06,2276,-0.86175,0,0
3.2490345347469e-06,2277,-0.86125,0,0
3.2490345347469e-06,2278,-0.86075,0,0
3.2490345915903e-06,2279,-0.86025,0,0
3.2490345347469e-06,2280,-0.85975,0,0
3.2490344779035e-06,2281,-0.85925,0,0
3.2490345915903e-06,2282,-0.85875,0,0
3.2490345347469e-06,2283,-0.85825,0,0
3.2490345347469e-06,2284,-0.85775,0,0
3.2490345915903e-06,2285,-0.85725,0,0
3.2490344779035e-06,2286,-0.85675,0,0
3.2490345915903e-06,2287,-0.85625,0,0
3.2490345915903e-06,2288,-0.85575,0,0
3.2490344779035e-06,2289,-0.85525,0,0
3.2490345347469e-06,2290,-0.85475,0,0
3.2490345915903e-06,2291,-0.85425,0,0
3.2490344779035e-06,2292,-0.85375,0,0
3.2490345347469e-06,2293,-0.85325,0,0
3.2490344779035e-06,2294,-0.85275,0,0
3.2490345915903e-06,2295,-0.85225,0,0
3.2490345347469e-06,2296,-0.85175,0,0
3.2490344779035e-06,2297,-0.85125,0,0
3.2490345915903e-06,2298,-0.85075,0,0
3.2490345347469e-06,2299,-0.85025,0,0
3.2490344779035e-06,2300,-0.84975,0,0
3.2490345915903e-06,2301,-0.84925,0,0
3.2490345347469e-06,2302,-0.84875,0,0
3.2490344779035e-06,2303,-0.84825,0,0
3.2490345347469e-06,2304,-0.84775,0,0
3.2490345347469e-06,2305,-0.84725,0,0
3.2490345347469e-06,2306,-0.84675,0,0
3.2490345347469e-06,2307,-0.84625,0,0
3.2490345347469e-06,2308,-0.84575,0,0
3.2490345347469e-06,2309,-0.84525,0,0
3.2490345347469e-06,2310,-0.84475,0,0
3.2490345347469e-06,2311,-0.84425,0,0
3.2490345347469e-06,2312,-0.84375,0,0
3.2490345347469e-06,2313,-0.84325,0,0
3.2490345347469e-06,2314,-0.84275,0,0
3.2490345915903e-06,2315,-0.84225,0,0
3.2490344779035e-06,2316,-0.84175,0,0
3.2490345347469e-06,2317,-0.84125,0,0
3.2490345915903e-06,2318,-0.84075,0,0
3.2490344779035e-06,2319,-0.84025,0,0
3.2490345915903e-06,2320,-0.83975,0,0
3.2490345915903e-06,2321,-0.83925,0,0
3.2490345347469e-06,2322,-0.83875,0,0
3.2490345347469e-06,2323,-0.83825,0,0
3.2490345347469e-06,2324,-0.83775,0,0
3.2490345347469e-06,2325,-0.83725,0,0
3.2490345347469e-06,2326,-0.83675,0,0
3.2490344779035e-06,2327,-0.83625,0,0
3.2490346484337e-06,2328,-0.83575,0,0
3.2490345347469e-06,2329,-0.83525,0,0
3.2490345347469e-06,2330,-0.83475,0,0
3.2490345915903e-06,2331,-0.83425,0,0
